category,MultinomialNB with Count,MultinomialNB with TFIDF,SVM with Count,SVM with TFIDF,Logistic Regression with Count,Logistic Regression with TFIDF
10,0.811965811965812,0.7765567765567766,0.78998778998779,0.8229548229548229,0.8131868131868132,0.8192918192918193
50,0.8449328449328449,0.800976800976801,0.8070818070818071,0.8681318681318682,0.833943833943834,0.8498168498168498
100,0.8559218559218559,0.7704517704517705,0.8363858363858364,0.8791208791208791,0.8302808302808303,0.851037851037851
500,0.8400488400488401,0.4652014652014652,0.7936507936507936,0.8693528693528694,0.7985347985347986,0.8315018315018315
1000,0.8095238095238095,0.34065934065934067,0.7936507936507936,0.8681318681318682,0.7973137973137974,0.8168498168498168
5000,0.6642246642246642,0.23687423687423687,0.7924297924297924,0.8632478632478633,0.7863247863247863,0.7826617826617827
10000,0.6178266178266179,0.21978021978021978,0.78998778998779,0.8583638583638583,0.7716727716727717,0.7741147741147741
All,0.5824175824175825,0.18803418803418803, 0.7728937728937729,0.8424908424908425,0.7631257631257631,0.6141636141636142
